hour of day start,hour of day end,bar size,max bar size,percentage
4,5,0.55,1.88,0.2925531915
5,6,0.77,1.88,0.4095744681
6,7,0.96,1.88,0.5106382979
7,8,1.02,1.88,0.5425531915
8,9,0.96,1.88,0.5106382979
9,10,0.84,1.88,0.4468085106
10,11,0.81,1.88,0.4308510638
11,12,0.9,1.88,0.4787234043
12,13,1.03,1.88,0.5478723404
13,14,1.13,1.88,0.6010638298
14,15,1.22,1.88,0.6489361702
15,16,1.34,1.88,0.7127659574
16,17,1.49,1.88,0.7925531915
17,18,1.63,1.88,0.8670212766
18,19,1.63,1.88,0.8670212766
19,20,1.42,1.88,0.7553191489
20,21,1.18,1.88,0.6276595745
21,22,0.93,1.88,0.4946808511
22,23,0.74,1.88,0.3936170213
23,24,0.59,1.88,0.3138297872
0,1,0.48,1.88,0.2553191489
1,2,0.37,1.88,0.1968085106
2,3,0.33,1.88,0.1755319149
3,4,0.39,1.88,0.2074468085
