,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.6
increment_210,2.1
increment_240,4.8
increment_270,9.3
increment_300,15.9
increment_330,27.6
increment_360,77.51182858961701
increment_390,104.19635080494155
increment_420,132.09635080494155
increment_450,229.47006827564738
increment_480,1871.9739582660038
increment_510,2371.3371199355806
increment_540,2495.0100978764176
increment_570,2596.4967266172744
increment_600,2844.054120823737
increment_630,2963.516467700219
increment_660,3050.216467700219
increment_690,3318.085593566614
increment_720,3886.1145675911625
increment_750,4311.602555783049
increment_780,4553.2543280185355
increment_810,4884.298421886435
increment_840,5022.598421886435
increment_870,5213.441077750467
increment_900,5390.314928693938
increment_930,5903.784282671888
increment_960,20931.499353554544
increment_990,21158.210259530522
increment_1020,21348.11025953052
increment_1050,21549.710259530522
increment_1080,21759.41025953052
increment_1110,21982.91025953052
increment_1140,22690.73602345413
increment_1170,22933.43602345413
increment_1200,36036.65264663229
increment_1230,37229.81662225727
increment_1260,45809.07538448376
increment_1290,47542.62112242044
increment_1320,73856.87910995948
increment_1350,74444.24943807303
increment_1380,134481.23164760234
increment_1410,135957.3388063496
increment_1440,225321.92347837883
increment_1470,229787.55148502518
increment_1500,231420.61297574927
increment_1530,234755.15991457258
increment_1560,238299.70273259806
increment_1590,239031.35192380915
increment_1620,240285.21949559858
increment_1650,241393.64998682705
increment_1680,241614.14998682705
increment_1710,241846.04998682704
increment_1740,242090.24998682702
increment_1770,242346.74998682702
increment_1800,242611.64998682705
increment_1830,242889.14998682705
increment_1860,243178.64998682705
increment_1890,243477.74998682702
increment_1920,246240.05559533436
increment_1950,246619.14213807878
increment_1980,246945.54213807877
increment_2010,251500.86120408968
increment_2040,251851.26120408968
increment_2070,252212.76120408968
increment_2100,252585.06120408967
increment_2130,253036.86482500634
increment_2160,253428.96482500635
increment_2190,253831.86482500634
increment_2220,254245.56482500635
increment_2250,255369.13025161214
increment_2280,255805.63025161214
increment_2310,256253.83025161215
increment_2340,256711.93025161215
increment_2370,257178.73025161214
increment_2400,257656.33025161215
increment_2430,258147.73025161214
increment_2460,258646.93025161215
increment_2490,259158.43025161215
increment_2520,259684.33025161215
increment_2550,260220.13025161214
increment_2580,260766.13025161214
increment_2610,261318.13025161214
increment_2640,267647.22600046365
increment_2670,268283.7297634024
increment_2700,270396.2357146851
increment_2730,271904.0336597225
increment_2760,280066.12065555877
increment_2790,282530.96717054036
increment_2820,319269.2021446092
increment_2850,319896.6124127108
increment_2880,451392.6383783913
increment_2910,455120.2967032288
increment_2940,457432.22188053845
increment_2970,466797.93266592384
increment_3000,471854.0209339474
increment_3030,474421.3162769385
increment_3060,479822.3323988615
increment_3090,484434.06331263704
increment_3120,485056.26331263705
increment_3150,485689.8633126371
increment_3180,486334.56331263704
increment_3210,486988.26331263705
increment_3240,487651.26331263705
increment_3270,488327.1633126371
increment_3300,489010.56331263704
increment_3330,489706.56331263704
increment_3360,490563.5785636966
increment_3390,491283.2785636966
increment_3420,492015.2785636966
increment_3450,492763.17856369657
increment_3480,495750.25474890874
increment_3510,496524.55474890873
increment_3540,497309.05474890873
increment_3570,498106.1547489087
increment_3600,499037.4951034124
increment_3630,499861.2951034124
increment_3660,500696.19510341244
increment_3690,501540.0951034124
increment_3720,502395.0951034124
increment_3750,503261.19510341244
increment_3780,504138.0951034124
increment_3810,505027.89510341245
increment_3840,505930.5951034124
increment_3870,506844.0951034124
increment_3900,507769.5951034124
increment_3930,508704.0951034124
increment_3960,509648.7951034124
increment_3990,510602.7951034124
increment_4020,511571.7951034124
increment_4050,513003.9981943074
increment_4080,522008.8130102192
increment_4110,523803.8527249648
increment_4140,527540.538659106
increment_4170,528561.1386591061
increment_4200,536176.0057646282
increment_4230,537225.8584238985
increment_4260,567726.7349046074
increment_4290,572131.2738155018
increment_4320,726440.9925173059
increment_4350,730399.0734550252
increment_4380,733367.1349992278
increment_4410,748778.5799858465
increment_4440,757335.575007471
increment_4470,770118.3955215866
increment_4500,774301.4726364511
