,0
increment_0,0.0
increment_30,0.0
increment_60,0.0
increment_90,0.0
increment_120,0.0
increment_150,0.0
increment_180,0.0
increment_210,0.0
increment_240,0.0
increment_270,0.0
increment_300,0.0
increment_330,0.0
increment_360,0.0
increment_390,0.0
increment_420,0.0
increment_450,0.0
increment_480,0.0
increment_510,0.0
increment_540,0.0
increment_570,0.0
increment_600,0.0
increment_630,0.0
increment_660,0.0
increment_690,0.0
increment_720,0.0
increment_750,124.15441588711715
increment_780,124.15441588711715
increment_810,124.15441588711715
increment_840,220.48978191793114
increment_870,220.48978191793114
increment_900,220.48978191793114
increment_930,220.48978191793114
increment_960,220.48978191793114
increment_990,10916.57614333901
increment_1020,10916.57614333901
increment_1050,10916.57614333901
increment_1080,10916.57614333901
increment_1110,10916.57614333901
increment_1140,10916.57614333901
increment_1170,10916.57614333901
increment_1200,10916.57614333901
increment_1230,10916.57614333901
increment_1260,10916.57614333901
increment_1290,10916.57614333901
increment_1320,10916.57614333901
increment_1350,11983.440696389145
increment_1380,11983.440696389145
increment_1410,44895.38792700145
increment_1440,44895.38792700145
increment_1470,74647.19895936278
increment_1500,74647.19895936278
increment_1530,74647.19895936278
increment_1560,74647.19895936278
increment_1590,74647.19895936278
increment_1620,74647.19895936278
increment_1650,74647.19895936278
increment_1680,74647.19895936278
increment_1710,74647.19895936278
increment_1740,74647.19895936278
increment_1770,74647.19895936278
increment_1800,74647.19895936278
increment_1830,74647.19895936278
increment_1860,74647.19895936278
increment_1890,74647.19895936278
increment_1920,74647.19895936278
increment_1950,74647.19895936278
increment_1980,74647.19895936278
increment_2010,74647.19895936278
increment_2040,74647.19895936278
increment_2070,74647.19895936278
increment_2100,74647.19895936278
increment_2130,74647.19895936278
increment_2160,74647.19895936278
increment_2190,74647.19895936278
increment_2220,74647.19895936278
increment_2250,74647.19895936278
increment_2280,74647.19895936278
increment_2310,74647.19895936278
increment_2340,74647.19895936278
increment_2370,74647.19895936278
increment_2400,74647.19895936278
increment_2430,74647.19895936278
increment_2460,74647.19895936278
increment_2490,74647.19895936278
increment_2520,74647.19895936278
increment_2550,74647.19895936278
increment_2580,74647.19895936278
increment_2610,74647.19895936278
increment_2640,74647.19895936278
increment_2670,74647.19895936278
increment_2700,74647.19895936278
increment_2730,74647.19895936278
increment_2760,74647.19895936278
increment_2790,74647.19895936278
increment_2820,74647.19895936278
increment_2850,74972.90705592516
increment_2880,74972.90705592516
increment_2910,86330.035419546
increment_2940,86330.035419546
increment_2970,86330.035419546
increment_3000,86330.035419546
increment_3030,86330.035419546
increment_3060,86330.035419546
increment_3090,86330.035419546
increment_3120,86330.035419546
increment_3150,86330.035419546
increment_3180,86330.035419546
increment_3210,86330.035419546
increment_3240,86330.035419546
increment_3270,86330.035419546
increment_3300,86330.035419546
increment_3330,86330.035419546
increment_3360,86330.035419546
increment_3390,86330.035419546
increment_3420,86330.035419546
increment_3450,86330.035419546
increment_3480,86330.035419546
increment_3510,86330.035419546
increment_3540,86330.035419546
increment_3570,86330.035419546
increment_3600,86330.035419546
increment_3630,86330.035419546
increment_3660,86330.035419546
increment_3690,86330.035419546
increment_3720,86330.035419546
increment_3750,86330.035419546
increment_3780,86330.035419546
increment_3810,86330.035419546
increment_3840,86330.035419546
increment_3870,86330.035419546
increment_3900,86330.035419546
increment_3930,86330.035419546
increment_3960,86330.035419546
increment_3990,86330.035419546
increment_4020,86330.035419546
increment_4050,86330.035419546
increment_4080,86330.035419546
increment_4110,86330.035419546
increment_4140,86330.035419546
increment_4170,86330.035419546
increment_4200,86330.035419546
increment_4230,86330.035419546
increment_4260,86330.035419546
increment_4290,86330.035419546
increment_4320,86330.035419546
increment_4350,90251.19728401511
increment_4380,90251.19728401511
increment_4410,90251.19728401511
increment_4440,90251.19728401511
increment_4470,90251.19728401511
increment_4500,90251.19728401511
increment_4530,90251.19728401511
increment_4560,90251.19728401511
increment_4590,90251.19728401511
increment_4620,90251.19728401511
increment_4650,90251.19728401511
increment_4680,90251.19728401511
increment_4710,90251.19728401511
